5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 38.2063, Penetration Depth,29.8065, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -24.9431, Penetration Depth,33.1848, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -19.3646, Penetration Depth,34.1872, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -40.9555, Penetration Depth,28.9326, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -38.8632, Penetration Depth,29.6031, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -34.3248, Penetration Depth,30.9392, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 52.1103, Penetration Depth,24.7762, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -7.37833, Penetration Depth,35.4915, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -13.6176, Penetration Depth,34.9578, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -4.9921, Penetration Depth,35.6118, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 0.928325, Penetration Depth,35.71, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 43.1047, Penetration Depth,28.208, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -4.28105, Penetration Depth,35.6387, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 5.64645, Penetration Depth,35.5834, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -41.4698, Penetration Depth,28.7625, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 49.637, Penetration Depth,25.7826, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 24.7269, Penetration Depth,33.2283, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -13.2628, Penetration Depth,34.9967, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -36.5243, Penetration Depth,30.312, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -35.0419, Penetration Depth,30.7389, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -53.4579, Penetration Depth,24.2073, Penetration unsuccesful,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -29.8692, Penetration Depth,32.0929, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -8.73911, Penetration Depth,35.4021, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -30.5306, Penetration Depth,31.9316, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 28.0689, Penetration Depth,32.5143, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 29.2531, Penetration Depth,32.24, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -0.832894, Penetration Depth,35.7107, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -15.572, Penetration Depth,34.7257, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -37.4906, Penetration Depth,30.0243, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -36.6341, Penetration Depth,30.2796, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -20.4441, Penetration Depth,34.0127, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 122.046, Penetration Depth,-nan(ind), Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -28.9685, Penetration Depth,32.307, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 16.0242, Penetration Depth,34.6676, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , 31.3738, Penetration Depth,31.7209, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -9.70405, Penetration Depth,35.3295, Penetrated succesfully,
5.56 m855A1, Caliber, 5.56, Velocity, 961, Extra-High-Strength Silicon Magnese, Material Thickness , 29.26, Material Density,0.9, Angle of penetration , -19.7888, Penetration Depth,34.1198, Penetrated succesfully,
